src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
qlp,155316172,?.01,IS,346.70599,-30.30985,7.119,0.288,1356.509249,0,2.433099,0,5.910095,0,230,0,2,2018-09-28 18:08:55.903912+00:00,2018-10-05 15:47:22.563854+00:00
qlp,32052027,?.01,V,57.25155,-69.87852,5.583,0.015,1325.95917,0,4.876208,0,9.904164,0,1170,0,2,2018-09-28 18:08:56.036618+00:00,2018-10-05 15:47:22.559378+00:00
qlp,281798548,?.01,IS,14.0976,-59.71764,12.632,0.018,1325.540577,0,0.75649,0,0.202255,0,3050,0,2,2018-09-28 18:08:56.523171+00:00,2018-10-05 15:47:22.554872+00:00
qlp,9631909,?.01,IS,357.16757,-11.77872,11.742,0.75,1356.259819,0,4.932528,0,6.692059,0,6960,0,2,2018-09-28 18:08:56.970145+00:00,2018-10-05 15:47:22.550343+00:00
qlp,149448085,?.01,PC,84.87631,-64.45564,13.477,0.06,1356.827543,0,2.808269,0,2.18034,0,25820,0,2,2018-09-28 18:08:57.283054+00:00,2018-10-05 15:47:22.545885+00:00
qlp,10002480895,?.01,V,84.81577,-69.51057,12.605,1,1326.16976,0,1.382327,0,1.477321,0,12300,0,2,2018-09-28 18:08:57.506143+00:00,2018-10-05 15:47:22.541436+00:00
qlp,206584535,?.01,IS,20.00995,-54.4182,13.966,0.034,1354.670229,0,1.025655,0,1.332449,0,5700,0,2,2018-09-28 18:08:57.661368+00:00,2018-10-05 15:47:22.536894+00:00
qlp,271503441,?.01,IS,7.88613,-62.95826,4.618,0.255,1330.112744,0,5.212934,0,7.675524,0,100,0,2,2018-09-28 18:08:57.705336+00:00,2018-10-05 15:47:22.532435+00:00
qlp,149270685,?.01,V,82.82273,-65.53358,13.011,0.017,1326.334795,0,1.344097,0,3.484867,0,2200,0,2,2018-09-28 18:08:57.906277+00:00,2018-10-05 15:47:22.527945+00:00
qlp,271891552,?.01,PC,112.76747,-72.66745,13.216,0.018,1326.432194,0,3.576476,0,4.16216,0,3630,0,2,2018-09-28 18:08:57.971991+00:00,2018-10-05 15:47:22.523404+00:00
qlp,183495141,?.01,EB,18.96349,-73.34628,12.566,0.404,1325.826156,0,0.770848,0,4.649508,0,26070,0,2,2018-09-28 18:08:58.016716+00:00,2018-10-05 15:47:22.518870+00:00
qlp,47425697,?.01,PC,342.25617,-24.9593,10.431,0.018,1354.47183,0,0.493906,0,0.991566,0,450,0,2,2018-09-28 18:08:58.039069+00:00,2018-10-05 15:47:22.514383+00:00
qlp,234501416,?.01,EB,11.46219,-65.16548,9.436,0.018,1325.574206,0,0.342625,0,1.943424,0,460,0,2,2018-09-28 18:08:58.304974+00:00,2018-10-05 15:47:22.509655+00:00
qlp,141181957,?.01,EB,81.24511,-72.05605,12.93,0.017,1326.390099,0,2.851486,0,4.99375,0,2890,0,2,2018-09-28 18:08:58.416465+00:00,2018-10-05 15:47:22.505164+00:00
qlp,276862791,?.01,EB,83.43943,-66.48438,12.19,0.018,1325.790889,0,1.027797,0,2.695377,0,4610,0,2,2018-09-28 18:08:58.572588+00:00,2018-10-05 15:47:22.500665+00:00
qlp,231790635,?.01,V,78.31353,-69.13904,13.463,0.02,1325.897821,0,0.620869,0,2.437035,0,11950,0,2,2018-09-28 18:08:58.617077+00:00,2018-10-05 15:47:22.496087+00:00
qlp,10000090081,?.01,EB,21.0326,-73.15105,13.377,1,1328.661157,0,3.735997,0,7.09421,0,13880,0,2,2018-09-28 18:08:59.164917+00:00,2018-10-05 15:47:22.491489+00:00
qlp,176959316,?.01,IS,101.06871,-68.51263,13.241,0.179,1326.22382,0,0.846077,0,1.572688,0,1950,0,2,2018-09-28 18:08:59.231416+00:00,2018-10-05 15:47:22.487024+00:00
qlp,231839085,?.01,PC,25.00303,-62.54359,13.322,0.02,1326.316907,0,10.451886,0,2.064457,0,13580,0,2,2018-09-28 18:08:59.253346+00:00,2018-10-05 15:47:22.482531+00:00
qlp,219983007,?.01,EB,29.45098,-49.68577,12.847,0.018,1354.293328,0,0.327512,0,0.845138,0,2360,0,2,2018-09-28 18:08:59.341736+00:00,2018-10-05 15:47:22.478032+00:00
qlp,177309258,?.01,IS,103.21558,-74.54589,10.464,0.019,1326.223873,0,0.104063,0,0.145405,0,1970,0,2,2018-09-28 18:08:59.431041+00:00,2018-10-05 15:47:22.473594+00:00
qlp,179213790,?.01,EB,79.36616,-68.4966,12.958,0.017,1327.050277,0,2.920105,0,4.073196,0,6450,0,2,2018-09-28 18:08:59.453219+00:00,2018-10-05 15:47:22.469111+00:00
qlp,237926199,?.01,EB,57.70869,-62.44053,12.493,0.13,1325.80313,0,0.613498,0,1.684126,0,15800,0,2,2018-09-28 18:08:59.475282+00:00,2018-10-05 15:47:22.464662+00:00
qlp,141866704,?.01,EB,93.85972,-75.25317,10.382,0.018,1325.817759,0,1.423351,0,4.486972,0,7310,0,2,2018-09-28 18:08:59.496808+00:00,2018-10-05 15:47:22.460159+00:00
qlp,51939561,?.01,EB,15.01575,-71.70826,13.246,0.018,1326.712848,0,1.281381,0,4.898053,0,19480,0,2,2018-09-28 18:08:59.920401+00:00,2018-10-05 15:47:22.455689+00:00
qlp,30275737,?.01,V,74.14444,-66.47398,11.462,0.058,1326.468908,0,1.922145,0,4.996501,0,1720,0,2,2018-09-28 18:09:01.100768+00:00,2018-10-05 15:47:22.451227+00:00
qlp,206590515,?.01,EB,20.56581,-55.43125,12.786,0.018,1354.680571,0,1.024295,0,1.213667,0,13470,0,2,2018-09-28 18:09:01.235113+00:00,2018-10-05 15:47:22.446722+00:00
qlp,76923707,181.01,PC,352.17254,-34.49141,10.411,0.019,1358.119381,0,4.530087,0,2.718052,0,7590,0,2,2018-09-28 22:22:06.611358+00:00,2018-10-05 15:47:22.442151+00:00
qlp,10002166656,?.01,IS,3.79569,-23.88198,13.474,1,1356.43963,0,2.444911,0,6.872351,0,14860,0,2,2018-09-28 22:22:06.675266+00:00,2018-10-05 15:47:22.437583+00:00
qlp,228508587,?.01,IS,358.06089,-15.85461,6.167,0.017,1356.274729,0,4.931079,0,6.501924,0,300,0,2,2018-09-28 22:22:06.718029+00:00,2018-10-05 15:47:22.432765+00:00
qlp,89500381,?.01,V,356.6773,-23.79965,9.723,0.019,1358.979137,0,8.397911,0,10.561213,0,940,0,2,2018-09-28 22:22:06.739264+00:00,2018-10-05 15:47:22.428001+00:00
qlp,27973146,?.01,V,358.98431,-22.55477,10.212,0.019,1354.277222,0,0.282188,0,0.990074,0,290,0,2,2018-09-28 22:22:06.871474+00:00,2018-10-05 15:47:22.423428+00:00
qlp,183533142,?.01,IS,359.93612,-32.21086,7.449,0.017,1356.372753,0,4.902278,0,8.015813,0,290,0,2,2018-09-28 22:22:07.223407+00:00,2018-10-05 15:47:22.418839+00:00
qlp,9007224,?.01,V,349.20719,-21.20331,6.336,0.017,1356.526712,0,1.217039,0,3.564366,0,240,0,2,2018-09-28 22:22:07.391444+00:00,2018-10-05 15:47:22.414272+00:00
qlp,355738164,?.01,V,1.90242,-62.31506,5.397,0.021,1344.528759,0,21.797694,0,10.232709,0,200,0,2,2018-09-28 18:09:01.347004+00:00,2018-10-05 15:47:22.409783+00:00
qlp,183799875,?.01,EB,21.033,-73.15113,12.714,0.045,1328.656142,0,3.735997,0,6.561606,0,7220,0,2,2018-09-28 18:09:01.526893+00:00,2018-10-05 15:47:22.405204+00:00
qlp,238190117,?.01,V,55.68967,-74.29353,12.438,0.083,1354.327917,0,0.296849,0,4.734575,0,5950,0,2,2018-09-28 18:09:01.596181+00:00,2018-10-05 15:47:22.400717+00:00
qlp,25063383,?.01,EB,59.97265,-70.97328,12.167,0.033,1327.397512,0,10.863461,0,6.090491,0,43520,0,2,2018-09-28 18:09:01.781700+00:00,2018-10-05 15:47:22.396254+00:00
