src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
spoc,70440470,00126.01,PC,339.489337,-35.153982,12.725,0.018,1326.731043,0.000948,3.035381,0.000203,2.886722,0.077295,16740.836454,333.53653,1,2018-08-30 14:17:27.695150+00:00,2018-08-31 20:38:10.280115+00:00
spoc,89020549,00132.01,PC,338.39942,-43.436628,10.803,0.018,1326.903983,0.001768,2.109307,0.00025,2.068328,0.357938,1379.431961,84.67819,1,2018-08-30 14:17:28.287194+00:00,2018-08-31 20:38:10.275379+00:00
spoc,89258104,?.01,IS,312.523945,-33.245456,9.417,0.017,1325.788171,0.004388,16.980673,0.005949,5.582106,0.330209,2315.728704,141.42238,1,2018-08-30 14:17:28.326294+00:00,2018-08-31 20:38:10.270675+00:00
spoc,89358641,?.03,IS,319.094581,-30.284171,10.991,0.019,1325.80125,0.000678,0.587213,1.8e-05,0.841166,0.26806,11479.289077,12838.42,1,2018-08-30 14:17:28.498355+00:00,2018-08-31 20:38:10.265782+00:00
spoc,91478103,?.01,PC,340.610542,-34.074872,9.14,0.019,1331.786095,0.001835,19.620466,0.002631,12.270457,0.14944,4831.485202,328.83798,1,2018-08-30 14:17:28.730684+00:00,2018-08-31 20:38:10.261056+00:00
spoc,92350801,?.01,IS,313.6885,-33.9584,12.432,0.049,1326.756769,0.003184,15.972671,0.004597,1.836942,0.634949,4740.821321,651.72736,1,2018-08-30 14:17:29.207554+00:00,2018-08-31 20:38:10.256307+00:00
spoc,92352620,00107.01,PC,313.783108,-34.135572,9.639,0.019,1328.29934,0.000307,3.950054,8.8e-05,4.557506,0.023461,12999.897181,75.69489,1,2018-08-30 14:17:29.247021+00:00,2018-08-31 20:38:10.251518+00:00
spoc,92352621,?.01,EB,313.788158,-34.135521,9.991,0.019,1328.299443,0.000563,3.950039,0.000159,4.581526,0.03921,14260.532866,165.26295,1,2018-08-30 14:17:29.286169+00:00,2018-08-31 20:38:10.246803+00:00
spoc,92367963,?.01,IS,314.095075,-33.302949,8.915,0.017,1333.962927,0.001821,8.683875,0.001473,1.190823,0.495088,587.507983,85.88388,1,2018-08-30 14:17:29.413944+00:00,2018-08-31 20:38:10.242085+00:00
spoc,92444219,?.01,PC,314.4076,-34.2718,12.05,0.042,1326.144063,0.008599,8.180708,0.004606,5.398317,0.530364,2970.703871,324.1892,1,2018-08-30 14:17:29.453023+00:00,2018-08-31 20:38:10.237388+00:00
spoc,92451314,?.01,IS,314.623836,-31.705534,7.959,0.017,1333.587426,0.003104,8.760918,0.002465,4.510052,0.41549,365.240778,41.62019,1,2018-08-30 14:17:29.551477+00:00,2018-08-31 20:38:10.232541+00:00
spoc,167007869,?.01,V,94.804987,-67.59813,8.473,0.019,1325.375649,0.000372,0.551321,1.5e-05,0.933311,0.091255,966.919253,50.930653,1,2018-08-30 14:17:39.688358+00:00,2018-08-31 20:38:10.227768+00:00
spoc,167415965,00214.01,PC,99.460653,-70.932628,7.965,0.018,1336.706246,0.004269,12.71221,0.006164,4.87902,0.585909,322.456098,41.241936,1,2018-08-30 14:17:39.861568+00:00,2018-08-31 20:38:10.222966+00:00
spoc,167602738,?.01,EB,101.845414,-61.215029,9.755,0.018,1325.455189,0.000882,0.353601,2.5e-05,0.875643,0.21208,387.308721,34.040173,1,2018-08-30 14:17:40.126415+00:00,2018-08-31 20:38:10.218270+00:00
spoc,176957796,00137.01,PC,101.297297,-66.238034,10.642,0.018,1327.369003,0.004306,4.819018,0.001436,3.035372,0.275922,1803.249732,160.64334,1,2018-08-30 14:17:40.736751+00:00,2018-08-31 20:38:10.213451+00:00
